id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,yearly_availability,license,rating,date,estimated_revenue,bedrooms,beds,bathrooms,price_capped,month,year
18674,Huge flat for 8 people close to Sagrada Familia,71615,Mireia  Maria,Eixample,la Sagrada Família,41.40556,2.17262,Entire home/apt,179.0,1,45,2024-09-16,0.31,29,147,HUTB-002062,4.39,2013-05-27,5370.0,3.0,6.0,2.0,179.0,2013-05,2013
23197,"Forum CCIB DeLuxe, Spacious, Large Balcony, relax",90417,Etain (Marnie),Sant Martí,el Besòs i el Maresme,41.41243172529066,2.219750335269476,Entire home/apt,251.0,3,82,2025-01-03,0.48,1,0,HUTB005057,4.8,2011-03-15,12048.0,3.0,4.0,2.0,251.0,2011-03,2011
32711,Sagrada Familia area - Còrsega 1,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40566,2.17015,Entire home/apt,104.0,1,143,2025-03-04,0.86,3,107,HUTB-001722,4.46,2011-07-17,19344.0,2.0,3.0,1.5,104.0,2011-07,2011
34241,Stylish Top Floor Apartment - Ramblas Plaza Real,73163,Andres,Ciutat Vella,el Barri Gòtic,41.38062,2.17517,Entire home/apt,157.0,31,25,2024-11-05,0.14,3,327,Exempt,4.36,2010-07-10,40035.0,1.0,1.0,1.0,157.0,2010-07,2010
34981,VIDRE HOME PLAZA REAL on LAS RAMBLAS,73163,Andres,Ciutat Vella,el Barri Gòtic,41.37978,2.17623,Entire home/apt,401.0,5,256,2025-02-02,1.46,3,191,HUTB-150671,4.54,2010-10-03,102255.0,4.0,6.0,3.0,401.0,2010-10,2010
40983,Soho Colonial Eclectic Apartment,177617,Joaquin,Eixample,la Dreta de l'Eixample,41.39631,2.16832,Entire home/apt,149.0,2,364,2025-02-22,2.18,7,262,HUTB-001282,4.5,2011-06-16,37995.0,1.0,2.0,1.0,149.0,2011-06,2011
41952,Modern Apartment - Sagrada Familia,183340,Teresa,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40568,2.16943,Entire home/apt,199.0,3,102,2024-11-10,0.65,3,296,HUTB-003549,4.32,2012-05-14,31044.0,2.0,4.0,2.0,199.0,2012-05,2012
49968,Sagrada Familia area - Còrsega 2,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.4057,2.17016,Entire home/apt,126.0,1,126,2025-02-24,0.76,3,97,HUTB-001723,4.63,2011-08-12,21924.0,2.0,7.0,1.0,126.0,2011-08,2011
58512,Stylish & cozy 3BR near Sagrada Familia,280070,Cristina,Sant Martí,el Camp de l'Arpa del Clot,41.41129,2.18193,Entire home/apt,139.0,3,401,2025-01-07,2.36,1,16,HUTB-009592,4.5,2011-04-08,17514.0,3.0,3.0,2.0,139.0,2011-04,2011
71520,Charming apartment with fantastic views!,366428,Ariadna,Gràcia,Vallcarca i els Penitents,41.41841,2.13307,Entire home/apt,315.0,5,1,2011-06-23,0.01,1,0,HUTB-007966,5.0,2011-06-23,0.0,3.0,5.0,3.5,315.0,2011-06,2011
71553,Best deals for penthouse near Sagrada Familia!,366654,Watermelon Barcelona Apartments,Eixample,la Dreta de l'Eixample,41.39705,2.17469,Entire home/apt,162.0,3,84,2025-02-17,0.49,2,255,HUTB-002424,4.23,2011-03-27,2916.0,1.0,1.0,1.5,162.0,2011-03,2011
72436,Lugaris Beach Business Apartment,375625,Xavier,Sant Martí,el Poblenou,41.39909,2.20733,Entire home/apt,173.0,1,935,2025-02-27,7.28,6,240,HUTB-000173,4.73,2014-08-19,44115.0,1.0,2.0,1.0,173.0,2014-08,2014
73683,Sagrada Familia area for 12 people,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40554,2.17017,Entire home/apt,279.0,1,233,2025-02-10,1.39,3,91,HUTB-001723,4.57,2011-06-04,46872.0,4.0,14.0,2.0,279.0,2011-06,2011
75411,Sagrada Familia Clot Patio - Wifi/Private/Clean,400154,Mireia,Sant Martí,el Clot,41.40682,2.18649,Entire home/apt,146.0,3,113,2025-02-09,0.7,10,79,HUTB-000083,4.47,2012-01-07,19272.0,3.0,3.0,1.0,146.0,2012-01,2012
80004,Parc Montjuic HUTB-004026 58,431839,Xavier,Sants-Montjuïc,el Poble Sec,41.37371,2.16706,Entire home/apt,117.0,5,199,2025-02-13,1.19,1,173,HUTB-004026,4.68,2011-05-24,24570.0,3.0,3.0,1.0,117.0,2011-05,2011
89756,"bcn-rentals ramblas 9, right in the city centre",488117,David Y Maria,Ciutat Vella,el Raval,41.37861,2.16737,Entire home/apt,332.0,6,25,2024-05-10,0.17,6,256,HUTB-013579,4.72,2012-11-02,7968.0,3.0,7.0,1.0,332.0,2012-11,2012
89776,Modernist aparment in the heart of the city,3556337,Alejandro,Eixample,la Dreta de l'Eixample,41.39224,2.17806,Entire home/apt,119.0,1,399,2025-02-16,2.46,75,337,HUTB-002215,4.77,2011-11-10,28560.0,1.0,2.0,1.0,119.0,2011-11,2011
110041,002. Alió 2 Apartment,396363,Alcam Apartments,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40271,2.16646,Entire home/apt,94.0,1,85,2025-02-23,0.55,75,314,HUTB-003671,4.21,2012-07-16,17484.0,1.0,2.0,1.0,94.0,2012-07,2012
112538,✨Design Apt near Sagrada Familia / Shared terrace✨,567180,Sandra,Eixample,la Sagrada Família,41.40653,2.1746,Entire home/apt,386.0,1,135,2024-11-29,0.81,19,1,HUTB-000333,4.45,2011-06-21,34740.0,3.0,6.0,2.0,386.0,2011-06,2011
117010,✨Spacious Flat near Sagrada Familia/Shared terrace,567180,Sandra,Eixample,la Sagrada Família,41.40647,2.17457,Entire home/apt,339.0,1,62,2025-02-23,0.38,19,256,HUTB000331,4.62,2011-08-09,24408.0,3.0,6.0,2.0,339.0,2011-08,2011
118228,✨Bright apt views Sagrada Familia / Shared terrace,567180,Sandra,Eixample,la Sagrada Família,41.40653,2.1746,Entire home/apt,386.0,1,68,2025-01-03,0.41,19,1,HUTB-000328,4.63,2011-09-13,25476.0,3.0,5.0,2.0,386.0,2011-09,2011
128463,Safe Haven in Sants: Peaceful Retreat in Barcelona,635253,Sebastian,Sants-Montjuïc,Sants,41.37155,2.13664,Entire home/apt,128.0,3,449,2025-03-08,2.73,1,0,HUTB-012603,4.85,2011-09-03,29184.0,1.0,1.0,2.0,128.0,2011-09,2011
135513,Poble Nou Apartment a 3 minutos de la Playa,664196,Teresa,Sant Martí,el Poblenou,41.39787,2.20429,Entire home/apt,180.0,2,169,2025-03-01,1.03,2,213,HUTb-005204,4.69,2011-10-05,45360.0,3.0,3.0,1.5,180.0,2011-10,2011
138055,🌞Apt best views of Sagrada Familia/Shared terrace,567180,Sandra,Eixample,la Sagrada Família,41.40653,2.1746,Entire home/apt,449.0,1,148,2025-01-05,0.89,19,0,HUTB000329,4.58,2011-08-04,75432.0,3.0,6.0,2.0,449.0,2011-08,2011
147275,1 Room INDIVIDUAL in Barcelona,711907,Antuan,Horta-Guinardó,el Guinardó,41.42337,2.1749,Private room,16.0,31,132,2024-08-11,1.1,1,1,Exempt,4.26,2015-05-14,992.0,1.0,1.0,1.0,16.0,2015-05,2015
162091,✨Cosy Apt near Sagrada Familia / Shared terrace✨,567180,Sandra,Eixample,la Sagrada Família,41.4064,2.17449,Entire home/apt,339.0,1,75,2024-12-08,0.48,19,244,HUTB000326,4.53,2012-04-19,14238.0,3.0,6.0,2.0,339.0,2012-04,2012
171646,Sagrada Familia Clot Atico - Wifi/Private/Clean,400154,Mireia,Sant Martí,el Clot,41.40671,2.18592,Entire home/apt,139.0,3,120,2025-02-09,0.84,10,83,HUTB-004663,4.81,2013-05-27,22518.0,2.0,2.0,1.0,139.0,2013-05,2013
171816,Sagrada Familia Clot Vista - Wifi/Private/Clean,400154,Mireia,Sant Martí,el Clot,41.40681,2.18553,Entire home/apt,139.0,3,76,2025-02-20,0.95,10,84,HUTB-004664,4.74,2018-08-19,15846.0,2.0,2.0,1.0,139.0,2018-08,2018
174382,Classic Flat near Sagrada Familia / Shared terrace,567180,Sandra,Eixample,la Sagrada Família,41.40653,2.17455,Entire home/apt,373.0,1,40,2024-12-22,0.35,19,209,HUTB000327,4.48,2015-10-18,26856.0,3.0,6.0,1.0,373.0,2015-10,2015
188267,"LAST Minute Promotion ,Balconies  and views, city",366654,Watermelon Barcelona Apartments,Eixample,la Dreta de l'Eixample,41.39258,2.17692,Entire home/apt,309.0,2,128,2024-11-17,0.78,2,329,hutb-005119,4.66,2011-10-11,20394.0,3.0,4.0,2.0,309.0,2011-10,2011
196196,✨Large Apt near Sagrada Familia / Shared terrace✨,567180,Sandra,Eixample,la Sagrada Família,41.4066,2.17459,Entire home/apt,339.0,1,170,2025-01-02,1.04,19,234,HUTB-000325,4.53,2011-09-15,69156.0,4.0,7.0,2.0,339.0,2011-09,2011
198958,STUNNING sea view + pool Barcelona!,971768,Akira Flats,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,41.40805,2.21487,Entire home/apt,395.0,2,127,2025-01-03,0.81,10,78,HUTB-000926,4.73,2012-04-26,47400.0,4.0,6.0,2.0,395.0,2012-04,2012
206122,Amazing Loft in BCN Center,1013855,Alejandro,Gràcia,la Vila de Gràcia,41.39877,2.15887,Entire home/apt,156.0,4,302,2025-03-02,1.87,3,184,HUTB-004315,4.74,2011-12-05,39780.0,2.0,2.0,1.0,156.0,2011-12,2011
206167,"Bright, comfy, central and with character",1014050,Minerva,Sants-Montjuïc,el Poble Sec,41.3724,2.1648,Entire home/apt,141.0,3,168,2025-01-04,1.03,1,60,HUTB-009804,4.89,2011-11-06,20304.0,1.0,1.0,1.0,141.0,2011-11,2011
209673,Sweet Apartment in Gràcia district!,1033366,Elena,Gràcia,la Vila de Gràcia,41.398,2.1553,Entire home/apt,138.0,2,373,2025-02-25,2.52,1,1,HUTB-010932,4.8,2013-01-02,21528.0,2.0,3.0,1.0,138.0,2013-01,2013
234375,ATTIC VIEWS  (Sagrada Familia),1227290,Francesca,Eixample,el Fort Pienc,41.39970016479492,2.1748878955841064,Entire home/apt,193.0,6,122,2025-02-10,1.3,1,224,HUTB-003754,4.69,2017-06-13,49215.0,1.0,2.0,1.0,193.0,2017-06,2017
238703,☆Comfy central Flat Sagrada Familia/Shared terrace,567180,Sandra,Eixample,la Sagrada Família,41.40653,2.1746,Entire home/apt,339.0,1,107,2024-12-27,0.82,19,239,HUTB000330,4.41,2014-07-02,34578.0,4.0,7.0,2.0,339.0,2014-07,2014
